

*******************************************************************************
Ephemeris / WWW_USER Sat Jan  4 13:13:53 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-801804) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-01 00:00:00.0000 TDB
Step-size       : 24 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.318962897875872E-01,  6.885321195084518E+03,  7.971263820112028E+01,  3.195375922652585E+02,  2.510134208543307E+02,  2.460310493517465E+06,  5.121092596190720E-02,  2.868277826615435E+01,  3.712259575167860E+01,  7.931450026172307E+03,  8.977578857260096E+03,  7.029749867592373E+03,
2460310.516666667, A.D. 2024-Jan-01 00:24:00.0000,  1.325354735017331E-01,  6.892968518011469E+03,  7.972222483092689E+01,  3.195281534573395E+02,  2.514544869278752E+02,  2.460310493583716E+06,  5.106927124265299E-02,  1.018508675251762E+02,  1.160780621380536E+02,  7.946109964676741E+03,  8.999251411342011E+03,  7.049248819108437E+03,
2460310.533333333, A.D. 2024-Jan-01 00:48:00.0000,  1.338047647179493E-01,  6.872248591786674E+03,  7.971306993434642E+01,  3.195164041152780E+02,  2.511761089785551E+02,  2.460310493599820E+06,  5.118785264673388E-02,  1.757266468990838E+02,  1.767050927888064E+02,  7.933833288229680E+03,  8.995417984672686E+03,  7.032918580986232E+03,
2460310.550000000, A.D. 2024-Jan-01 01:12:00.0000,  1.328243915742708E-01,  6.882119031917981E+03,  7.971547937350327E+01,  3.194930994794084E+02,  2.516113714262781E+02,  2.460310575156288E+06,  5.116451098786026E-02,  2.487937650122592E+02,  2.355279281539027E+02,  7.936246090237456E+03,  8.990373148556930E+03,  7.036127054657412E+03,
2460310.566666667, A.D. 2024-Jan-01 01:36:00.0000,  1.330364847689350E-01,  6.888582636604769E+03,  7.972061082755340E+01,  3.194882991913173E+02,  2.512662872433742E+02,  2.460310575100658E+06,  5.107377275082700E-02,  3.227827047636047E+02,  3.122256114974913E+02,  7.945643058311176E+03,  9.002703480017582E+03,  7.048627516833888E+03,
2460310.583333333, A.D. 2024-Jan-01 02:00:00.0000,  1.322620147317399E-01,  6.884699283882321E+03,  7.971385654323164E+01,  3.194655450158907E+02,  2.508314037918136E+02,  2.460310575030159E+06,  5.118550203705569E-02,  3.672018669584997E+01,  4.709862210166103E+01,  7.934076185167721E+03,  8.983453086453121E+03,  7.033241556161321E+03,
2460310.600000000, A.D. 2024-Jan-01 02:24:00.0000,  1.324801611658272E-01,  6.892554836533046E+03,  7.972160703756072E+01,  3.194586582010008E+02,  2.512228444347751E+02,  2.460310575084188E+06,  5.107875400051372E-02,  1.099585683366694E+02,  1.233412617841401E+02,  7.945126472030529E+03,  8.997698107528013E+03,  7.047940127834350E+03,
2460310.616666667, A.D. 2024-Jan-01 02:48:00.0000,  1.339343143138371E-01,  6.870488386993383E+03,  7.971225047709316E+01,  3.194447480052743E+02,  2.510870784824799E+02,  2.460310656529248E+06,  5.119603764418506E-02,  1.836743422057668E+02,  1.828322257140517E+02,  7.932987648102073E+03,  8.995486909210762E+03,  7.031794188878785E+03,
