

*******************************************************************************
Ephemeris / WWW_USER Sat Jan  4 12:59:29 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-826658) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jul-01 00:00:00.0000 TDB
Step-size       : 24 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  6.314409000042377E-03,  7.059842942721298E+03,  9.865652290943986E+01,  2.330910128380346E+01,  3.089624473890158E+02,  2.460310496369442E+06,  6.040493842767324E-02,  1.894783132712202E+01,  1.918454820593806E+01,  7.104704955635811E+03,  7.149566968550324E+03,  5.959777617041220E+03,
2460310.516666667, A.D. 2024-Jan-01 00:24:00.0000,  6.251638309855584E-03,  7.052869162331099E+03,  9.866105931382255E+01,  2.331586331202590E+01,  3.027526084280121E+02,  2.460310495199967E+06,  6.050028414654042E-02,  1.122112610299465E+02,  1.128725192426211E+02,  7.097238530623327E+03,  7.141607898915556E+03,  5.950385276340654E+03,
2460310.533333333, A.D. 2024-Jan-01 00:48:00.0000,  6.627928435014520E-03,  7.055655762222068E+03,  9.865776356773030E+01,  2.334358543959912E+01,  3.165487199780045E+02,  2.460310566799593E+06,  6.043010649849449E-02,  1.852672648189925E+02,  1.851981117280622E+02,  7.102732162689450E+03,  7.149808563156832E+03,  5.957295475045518E+03,
2460310.550000000, A.D. 2024-Jan-01 01:12:00.0000,  6.714694587626478E-03,  7.051940523176334E+03,  9.865972476704833E+01,  2.334956609520819E+01,  3.190281041816409E+02,  2.460310567254898E+06,  6.046994472326661E-02,  2.698500027687971E+02,  2.690805981161228E+02,  7.099612251133264E+03,  7.147283979090194E+03,  5.953370747195097E+03,
2460310.566666667, A.D. 2024-Jan-01 01:36:00.0000,  5.793670278439017E-03,  7.059761328009853E+03,  9.865897779392471E+01,  2.337779576560887E+01,  3.078362782312939E+02,  2.460310565156336E+06,  6.045347555599623E-02,  7.888730783222769E+00,  7.980509811191428E+00,  7.100901610621430E+03,  7.142041893233008E+03,  5.954992606943547E+03,
2460310.583333333, A.D. 2024-Jan-01 02:00:00.0000,  5.931104106805368E-03,  7.058888662461372E+03,  9.865890153009678E+01,  2.338359385127327E+01,  3.068677124186189E+02,  2.460310564968601E+06,  6.045214933320431E-02,  9.592020298549133E+01,  9.659570029893824E+01,  7.101005465138099E+03,  7.143122267814825E+03,  5.955123249890210E+03,
2460310.600000000, A.D. 2024-Jan-01 02:24:00.0000,  7.151876648515434E-03,  7.048212085269615E+03,  9.866023136148178E+01,  2.341176007062808E+01,  3.153517661762323E+02,  2.460310566646144E+06,  6.047798319988405E-02,  1.742838293060261E+02,  1.743647364539464E+02,  7.098983136995297E+03,  7.149754188720979E+03,  5.952579450445202E+03,
2460310.616666667, A.D. 2024-Jan-01 02:48:00.0000,  6.758367906157151E-03,  7.055416353016609E+03,  9.865754482839115E+01,  2.341791648083563E+01,  3.142347073590743E+02,  2.460310635350777E+06,  6.042127954671380E-02,  2.624614960456984E+02,  2.616946106835886E+02,  7.103423905161078E+03,  7.151431457305548E+03,  5.958165777036738E+03,
