*******************************************************************************
USER DATA                   {Unspecified by user}           Sat Jan-04 09:15:34
Local ID: -824753              (TLE ID = 24753)
 
Geocentric SGP4/SDP4 Two-Line Elements (TLEs):


*******************************************************************************
Ephemeris / WWW_USER Sat Jan  4 09:15:34 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: {Unspecified by user} (-824753) {source: USER-INPUT TLE}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Feb-01 00:00:00.0000 TDB
Step-size       : 4 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Keplerian GM    : 3.9860043550702260E+05 km^3/s^2
Output units    : KM-S, deg, Julian Day Number (Tp)
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC osculating elements
Output format   : 10
EOP file        : eop.250103.p250401
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-03. PREDICTS-> 2025-MAR-31
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.780474074202610E-03,  7.202218606233182E+03,  9.897877938991130E+01,  4.613020825088513E+01,  9.158725526863314E+01,  2.460310490593163E+06,  5.902434265899664E-02,  4.797207710403448E+01,  4.812385835126300E+01,  7.215064842128283E+03,  7.227911078023384E+03,  6.099178470819071E+03,
2460310.502777778, A.D. 2024-Jan-01 00:04:00.0000,  2.118833386033874E-03,  7.203787811733895E+03,  9.897629181922400E+01,  4.613187080011751E+01,  1.044677800690172E+02,  2.460310493111115E+06,  5.897505950707966E-02,  4.925594933115104E+01,  4.944022108690000E+01,  7.219083847606782E+03,  7.234379883479669E+03,  6.104275315852523E+03,
2460310.505555556, A.D. 2024-Jan-01 00:08:00.0000,  2.189259880696355E-03,  7.205960553301085E+03,  9.897462543894743E+01,  4.613246863096830E+01,  1.155952696684828E+02,  2.460310495285212E+06,  5.894214786867712E-02,  5.230276928401069E+01,  5.250160380843506E+01,  7.221770886570635E+03,  7.237581219840185E+03,  6.107683771586991E+03,
2460310.508333333, A.D. 2024-Jan-01 00:12:00.0000,  1.997139778991469E-03,  7.208056927041374E+03,  9.897417982930226E+01,  4.613252580536891E+01,  1.223526694656383E+02,  2.460310496603863E+06,  5.893345247059405E-02,  5.972470589036570E+01,  5.992259701758608E+01,  7.222481231612046E+03,  7.236905536182718E+03,  6.108584936197803E+03,
2460310.511111111, A.D. 2024-Jan-01 00:16:00.0000,  1.666176185232210E-03,  7.209019747210986E+03,  9.897506000959092E+01,  4.613269414825492E+01,  1.199265679258940E+02,  2.460310496125118E+06,  5.895095868495439E-02,  7.632909772882788E+01,  7.651470931670715E+01,  7.221051290904230E+03,  7.233082834597474E+03,  6.106770916549659E+03,
2460310.513888889, A.D. 2024-Jan-01 00:20:00.0000,  1.518258408924418E-03,  7.206875678989668E+03,  9.897705312333972E+01,  4.613359606157656E+01,  1.038644631831768E+02,  2.460310492981004E+06,  5.899037578978853E-02,  1.065626480519978E+02,  1.067293185897144E+02,  7.217834216483065E+03,  7.228792753976461E+03,  6.102690399580696E+03,
2460310.516666667, A.D. 2024-Jan-01 00:24:00.0000,  1.856173077452809E-03,  7.200218595765919E+03,  9.897968150849020E+01,  4.613567596623611E+01,  8.766531968928466E+01,  2.460310489825734E+06,  5.904222047446164E-02,  1.369222508946069E+02,  1.370672781522253E+02,  7.213608301286056E+03,  7.226998006806194E+03,  6.097331657025262E+03,
2460310.519444444, A.D. 2024-Jan-01 00:28:00.0000,  2.478232371774768E-03,  7.191518068637687E+03,  9.898231830381573E+01,  4.613909571688041E+01,  8.448388174086574E+01,  2.460310489232974E+06,  5.909411393715572E-02,  1.542516537722000E+02,  1.543746787145255E+02,  7.209384598931333E+03,  7.227251129224979E+03,  6.091977288683031E+03,
